iter	Passed	Remaining
0	21	21006
1	39	19737
2	55	18480
3	71	17757
4	85	16924
5	99	16461
6	113	16086
7	127	15756
8	140	15418
9	154	15292
10	167	15048
11	180	14872
12	193	14718
13	198	13990
14	212	13960
15	227	13977
16	241	13939
17	255	13917
18	269	13927
19	283	13901
20	297	13881
21	311	13837
22	324	13773
23	338	13766
24	353	13801
25	368	13789
26	381	13761
27	396	13751
28	408	13677
29	422	13663
30	436	13652
31	451	13651
32	466	13682
33	482	13703
34	498	13751
35	514	13766
36	530	13806
37	546	13823
38	560	13821
39	575	13817
40	589	13780
41	609	13902
42	628	13996
43	647	14078
44	665	14127
45	682	14146
46	699	14183
47	714	14170
48	728	14137
49	742	14107
50	756	14077
51	769	14033
52	784	14011
53	800	14022
54	815	14011
55	832	14029
56	846	14009
57	862	14006
58	879	14031
59	895	14035
60	911	14028
61	925	13998
62	938	13956
63	951	13918
64	965	13881
65	980	13871
66	995	13869
67	1009	13842
68	1024	13826
69	1039	13815
70	1052	13773
71	1065	13738
72	1080	13715
73	1095	13704
74	1109	13682
75	1121	13640
76	1137	13635
77	1151	13608
78	1165	13590
79	1179	13562
80	1193	13539
81	1212	13573
82	1229	13587
83	1245	13579
84	1258	13548
85	1271	13510
86	1285	13491
87	1298	13452
88	1312	13431
89	1325	13406
90	1341	13400
91	1357	13395
92	1370	13364
93	1385	13349
94	1397	13312
95	1411	13294
96	1426	13281
97	1440	13260
98	1455	13250
99	1469	13226
100	1482	13198
101	1496	13177
102	1511	13159
103	1525	13145
104	1540	13127
105	1554	13108
106	1568	13091
107	1581	13062
108	1597	13056
109	1610	13028
110	1623	12999
111	1636	12973
112	1649	12945
113	1661	12913
114	1674	12883
115	1688	12867
116	1701	12842
117	1715	12825
118	1728	12798
119	1742	12779
120	1756	12761
121	1770	12740
122	1784	12721
123	1798	12705
124	1812	12686
125	1825	12664
126	1840	12650
127	1853	12624
128	1865	12596
129	1878	12574
130	1892	12552
131	1905	12528
132	1919	12512
133	1932	12492
134	1947	12481
135	1961	12461
136	1975	12441
137	1988	12423
138	2003	12409
139	2017	12393
140	2031	12374
141	2043	12348
142	2057	12331
143	2070	12309
144	2085	12294
145	2097	12271
146	2111	12252
147	2124	12228
148	2137	12207
149	2151	12192
150	2164	12172
151	2178	12155
152	2192	12135
153	2205	12115
154	2219	12100
155	2234	12086
156	2248	12071
157	2262	12056
158	2276	12041
159	2289	12021
160	2303	12001
161	2316	11985
162	2331	11972
163	2344	11953
164	2358	11933
165	2370	11911
166	2384	11893
167	2399	11881
168	2412	11862
169	2425	11841
170	2438	11822
171	2452	11805
172	2466	11788
173	2480	11774
174	2494	11759
175	2508	11744
176	2520	11721
177	2534	11705
178	2548	11691
179	2563	11677
180	2576	11658
181	2589	11638
182	2602	11618
183	2615	11598
184	2628	11578
185	2641	11559
186	2654	11540
187	2668	11527
188	2682	11512
189	2696	11496
190	2710	11478
191	2722	11457
192	2735	11436
193	2748	11417
194	2761	11401
195	2775	11385
196	2788	11366
197	2801	11347
198	2816	11335
199	2830	11322
200	2843	11304
201	2857	11288
202	2871	11275
203	2886	11261
204	2900	11247
205	2915	11236
206	2929	11224
207	2946	11219
208	2962	11210
209	2977	11202
210	2992	11190
211	3006	11175
212	3019	11156
213	3032	11137
214	3045	11119
215	3058	11101
216	3072	11086
217	3087	11076
218	3100	11057
219	3114	11042
220	3128	11028
221	3141	11009
222	3156	10997
223	3169	10979
224	3184	10967
225	3198	10954
226	3214	10946
227	3228	10931
228	3243	10918
229	3256	10903
230	3270	10886
231	3284	10871
232	3299	10860
233	3312	10843
234	3326	10827
235	3340	10814
236	3354	10798
237	3366	10777
238	3379	10761
239	3392	10743
240	3406	10727
241	3418	10708
242	3432	10691
243	3446	10678
244	3459	10660
245	3473	10646
246	3487	10632
247	3501	10617
248	3515	10602
249	3531	10595
250	3546	10582
251	3561	10572
252	3575	10557
253	3589	10543
254	3603	10527
255	3616	10511
256	3631	10497
257	3644	10481
258	3657	10464
259	3670	10445
260	3683	10429
261	3696	10413
262	3710	10397
263	3724	10382
264	3739	10371
265	3752	10355
266	3766	10339
267	3780	10324
268	3793	10308
269	3806	10292
270	3819	10275
271	3833	10259
272	3846	10242
273	3859	10225
274	3872	10209
275	3885	10192
276	3899	10177
277	3911	10159
278	3925	10145
279	3939	10130
280	3953	10115
281	3966	10100
282	3979	10081
283	3992	10065
284	4006	10051
285	4020	10038
286	4033	10021
287	4046	10004
288	4060	9989
289	4073	9973
290	4087	9959
291	4100	9942
292	4115	9929
293	4127	9912
294	4141	9896
295	4155	9882
296	4169	9869
297	4183	9855
298	4196	9839
299	4209	9822
300	4223	9808
301	4239	9797
302	4253	9783
303	4267	9769
304	4279	9752
305	4292	9734
306	4304	9717
307	4318	9703
308	4332	9688
309	4345	9672
310	4358	9655
311	4372	9640
312	4386	9628
313	4402	9618
314	4418	9608
315	4431	9592
316	4444	9575
317	4456	9557
318	4471	9544
319	4484	9529
320	4499	9516
321	4512	9500
322	4524	9483
323	4537	9467
324	4551	9452
325	4566	9441
326	4582	9430
327	4596	9416
328	4609	9401
329	4623	9386
330	4637	9373
331	4652	9360
332	4666	9347
333	4679	9331
334	4693	9317
335	4706	9301
336	4720	9286
337	4734	9273
338	4749	9260
339	4763	9247
340	4777	9232
341	4790	9216
342	4803	9201
343	4818	9188
344	4832	9174
345	4846	9160
346	4860	9146
347	4875	9133
348	4889	9119
349	4902	9104
350	4915	9089
351	4930	9076
352	4943	9061
353	4956	9045
354	4970	9031
355	4984	9016
356	4997	9001
357	5014	8993
358	5028	8978
359	5043	8965
360	5057	8952
361	5070	8935
362	5082	8919
363	5095	8903
364	5109	8889
365	5124	8877
366	5138	8862
367	5150	8846
368	5165	8832
369	5179	8819
370	5192	8803
371	5204	8786
372	5217	8770
373	5230	8754
374	5244	8741
375	5257	8725
376	5270	8709
377	5282	8693
378	5295	8676
379	5308	8661
380	5321	8645
381	5334	8629
382	5347	8615
383	5361	8601
384	5376	8587
385	5389	8572
386	5402	8557
387	5415	8542
388	5429	8527
389	5443	8513
390	5456	8498
391	5470	8484
392	5483	8469
393	5496	8454
394	5510	8440
395	5524	8425
396	5537	8410
